token_budget,top_k,candidate_k,memory_count,forgetting_threshold,run_count,query_count,memory_retrieval_accuracy,answer_accuracy,response_correctness,stale_retrieval_rate,relevant_loss_rate,stale_retrieval_case_rate,mean_retrieval_latency_ms,p95_retrieval_latency_ms,mean_selected_token_proxy,mean_token_budget_used_ratio,mean_selected_memory_count,mean_estimated_memory_storage_bytes,max_estimated_memory_storage_bytes,mean_estimated_faiss_index_bytes,max_faiss_index_size,mean_retrieval_rss_peak_bytes,max_retrieval_rss_peak_bytes,rss_available,token_metric
128,1,10,100,0.3,9,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.35294444444444445,0.39067999999999997,15.666666666666666,0.12239583333333333,1.0,14885.0,14885,12800.0,100,69261994.66666667,69754880,True,deterministic_proxy_not_real_tokenizer
128,1,10,500,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.3715,0.40902,17.0,0.1328125,1.0,74378.0,74378,64000.0,500,71778759.1111111,72765440,True,deterministic_proxy_not_real_tokenizer
128,1,10,1000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.4186888888888889,0.50986,17.0,0.1328125,1.0,148743.0,148743,128000.0,1000,74653696.0,75509760,True,deterministic_proxy_not_real_tokenizer
128,1,10,2000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.4694333333333333,0.55944,17.0,0.1328125,1.0,297473.0,297473,256000.0,2000,79881557.33333333,80822272,True,deterministic_proxy_not_real_tokenizer
128,1,20,100,0.3,9,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5953555555555555,0.6973,15.666666666666666,0.12239583333333333,1.0,14885.0,14885,12800.0,100,69293397.33333333,69763072,True,deterministic_proxy_not_real_tokenizer
128,1,20,500,0.3,9,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6009444444444445,0.7011799999999999,15.666666666666666,0.12239583333333333,1.0,74378.0,74378,64000.0,500,71794688.0,72769536,True,deterministic_proxy_not_real_tokenizer
128,1,20,1000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.6574777777777778,0.7973599999999998,17.0,0.1328125,1.0,148743.0,148743,128000.0,1000,74653696.0,75509760,True,deterministic_proxy_not_real_tokenizer
128,1,20,2000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.7238888888888889,0.91706,17.0,0.1328125,1.0,297473.0,297473,256000.0,2000,79881557.33333333,80822272,True,deterministic_proxy_not_real_tokenizer
128,3,5,100,0.3,9,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.26415555555555553,0.29813999999999996,49.666666666666664,0.3880208333333333,3.0,14885.0,14885,12800.0,100,69295217.77777778,69763072,True,deterministic_proxy_not_real_tokenizer
128,3,5,500,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.28494444444444444,0.31154,51.0,0.3984375,3.0,74378.0,74378,64000.0,500,71796053.33333333,72773632,True,deterministic_proxy_not_real_tokenizer
